3,4,5
5,12,13
7,24,25
8,15,17
9,40,41
11,60,61
12,35,37
13,84,85
15,112,113
16,63,65
17,144,145
19,180,181
20,21,29
20,99,101
21,220,221
23,264,265
24,143,145
25,312,313
27,364,365
28,45,53
28,195,197
29,420,421
31,480,481
32,255,257
33,56,65
33,544,545
35,612,613
36,77,85
36,323,325
37,684,685
39,80,89
39,760,761
40,399,401
41,840,841
43,924,925
44,117,125
44,483,485
45,1012,1013
47,1104,1105
48,55,73
48,575,577
49,1200,1201
51,140,149
51,1300,1301
52,165,173
52,675,677
53,1404,1405
56,783,785
57,176,185
60,91,109
60,221,229
60,899,901
64,1023,1025
65,72,97
68,285,293
68,1155,1157
69,260,269
72,1295,1297
75,308,317
76,357,365
76,1443,1445
84,187,205
84,437,445
85,132,157
87,416,425
88,105,137
92,525,533
93,476,485
95,168,193
96,247,265
100,621,629
104,153,185
105,208,233
105,608,617
108,725,733
111,680,689
115,252,277
116,837,845
119,120,169
120,209,241
120,391,409
123,836,845
124,957,965
129,920,929
132,475,493
132,1085,1093
133,156,205
135,352,377
136,273,305
140,171,221
140,1221,1229
141,1100,1109
145,408,433
147,1196,1205
148,1365,1373
152,345,377
155,468,493
156,667,685
159,1400,1409
160,231,281
161,240,289
165,532,557
168,425,457
168,775,793
175,288,337
180,299,349
184,513,545
185,672,697
189,340,389
192,1015,1033
195,748,773
200,609,641
203,396,445
204,253,325
204,1147,1165
205,828,853
207,224,305
215,912,937
216,713,745
217,456,505
220,459,509
225,272,353
228,325,397
228,1435,1453
231,520,569
232,825,857
235,1092,1117
240,551,601
245,1188,1213
248,945,977
252,275,373
255,1288,1313
259,660,709
260,651,701
261,380,461
264,1073,1105
265,1392,1417
273,736,785
276,493,565
279,440,521
280,351,449
280,759,809
280,1209,1241
287,816,865
296,1353,1385
297,304,425
300,589,661
301,900,949
308,435,533
315,572,653
315,988,1037
319,360,481
320,999,1049
329,1080,1129
333,644,725
336,377,505
336,527,625
340,1131,1181
341,420,541
348,805,877
357,1276,1325
360,1271,1321
364,627,725
368,465,593
369,800,881
371,1380,1429
372,925,997
380,1419,1469
385,552,673
385,1488,1537
387,884,965
396,403,565
400,561,689
407,624,745
420,851,949
420,1189,1261
423,1064,1145
429,460,629
429,700,821
432,665,793
441,1160,1241
444,1333,1405
448,975,1073
451,780,901
455,528,697
464,777,905
468,595,757
473,864,985
476,1107,1205
477,1364,1445
481,600,769
495,952,1073
495,1472,1553
496,897,1025
504,703,865
504,1247,1345
517,1044,1165
528,1025,1153
532,1395,1493
533,756,925
539,1140,1261
540,629,829
555,572,797
559,840,1009
560,1161,1289
561,1240,1361
576,943,1105
580,741,941
583,1344,1465
585,928,1097
592,1305,1433
611,1020,1189
612,1075,1237
615,728,953
616,663,905
620,861,1061
624,1457,1585
637,1116,1285
645,812,1037
660,779,1021
660,989,1189
663,1216,1385
684,1363,1525
689,1320,1489
696,697,985
704,903,1145
705,992,1217
715,1428,1597
731,780,1069
735,1088,1313
740,1269,1469
744,817,1105
748,1035,1277
765,868,1157
780,1421,1621
792,1175,1417
795,1292,1517
799,960,1249
832,855,1193
833,1056,1345
836,1323,1565
840,1081,1369
880,1479,1721
884,987,1325
888,1225,1513
893,924,1285
901,1260,1549
931,1020,1381
935,1368,1657
936,1127,1465
969,1120,1481
969,1480,1769
988,1275,1613
1007,1224,1585
1036,1173,1565
1040,1431,1769
1045,1332,1693
1092,1325,1717
1113,1184,1625
1140,1219,1669
1148,1485,1877
1155,1292,1733
1248,1265,1777
1311,1360,1889
1312,1425,1937
1357,1476,2005
1428,1475,2053
