1,2,1
1,38,17
1,682,305
2,11,5
2,29,13
2,521,233
11,82,37
11,118,53
11,1478,661
19,22,13
19,62,29
19,458,205
19,1138,509
22,31,17
22,61,29
22,89,41
22,431,193
22,619,277
29,242,109
29,278,125
31,538,241
38,41,25
38,131,61
38,349,157
38,869,389
41,842,377
58,59,37
58,71,41
58,181,85
58,1459,653
59,218,101
59,1262,565
61,382,173
61,778,349
62,101,53
62,751,337
71,298,137
71,1342,601
82,109,61
82,839,377
89,622,281
109,482,221
118,149,85
118,961,433
118,1159,521
122,211,109
122,281,137
122,589,269
131,878,397
139,178,101
142,1021,461
149,638,293
151,902,409
158,691,317
158,1091,493
178,271,145
178,461,221
179,302,157
179,422,205
181,1178,533
191,262,145
202,451,221
209,1418,641
211,1082,493
218,551,265
218,1489,673
241,358,193
241,638,305
242,919,425
251,682,325
262,419,221
262,649,313
262,1181,541
269,278,173
269,958,445
278,1039,481
298,449,241
302,551,281
302,661,325
311,418,233
311,898,425
319,838,401
341,1142,533
362,599,313
362,869,421
389,482,277
389,1202,565
398,439,265
398,451,269
398,1321,617
398,1349,629
401,638,337
401,998,481
418,659,349
418,701,365
418,991,481
421,502,293
421,1342,629
422,781,397
458,541,317
458,1471,689
478,811,421
478,1121,545
479,758,401
479,1198,577
491,718,389
491,1318,629
499,902,461
499,1102,541
509,638,365
538,649,377
542,929,481
542,1259,613
562,1051,533
569,622,377
571,922,485
571,1402,677
589,802,445
601,998,521
631,662,409
662,859,485
671,698,433
671,1102,577
682,1189,613
698,899,509
709,958,533
718,1199,625
719,1322,673
722,1361,689
739,818,493
778,781,493
779,1298,677
818,1111,617
821,1142,629
829,1202,653
841,1438,745
842,881,545
862,1031,601
878,1189,661
902,1249,689
941,1342,733
1009,1018,641
1042,1171,701
1111,1382,793
1238,1319,809
1289,1418,857
