1,1,1
1,7,5
1,239,169
1,1393,985
7,137,97
17,31,25
17,193,137
17,431,305
17,1127,797
23,47,37
23,89,65
23,289,205
23,527,373
31,49,41
31,311,221
31,889,629
41,113,85
41,679,481
47,79,65
47,217,157
47,497,353
47,1279,905
49,257,185
49,457,325
71,97,85
71,391,281
71,631,449
73,161,125
73,983,697
79,401,289
79,761,541
89,191,149
89,329,241
97,127,113
103,271,205
119,167,145
119,233,185
119,479,349
119,641,461
119,1439,1021
127,161,145
127,1063,757
137,409,305
151,343,265
151,529,389
161,719,521
161,961,689
161,1321,941
167,1457,1037
191,329,269
199,241,221
199,1207,865
217,353,293
217,1031,745
223,1289,925
239,679,509
241,287,265
241,1481,1061
263,553,433
263,991,725
271,511,409
271,1129,821
287,337,313
287,359,325
289,751,569
289,889,661
311,791,601
311,977,725
313,1241,905
329,1231,901
359,439,401
367,697,557
391,449,421
391,911,701
391,1337,985
401,919,709
401,1393,1025
409,809,641
431,1169,881
449,511,481
457,1153,877
457,1447,1073
463,1009,785
487,857,697
497,929,745
497,1271,965
503,713,617
521,721,629
527,623,577
527,1423,1073
529,1103,865
553,1297,997
569,791,689
593,1057,857
623,727,677
673,1303,1037
697,1127,937
697,1193,977
713,959,845
721,799,761
721,953,845
727,839,785
791,1471,1181
799,881,841
823,1207,1033
833,1081,965
839,959,901
857,1327,1117
881,967,925
929,1489,1241
943,1433,1213
953,1217,1093
959,1087,1025
1087,1223,1157
1151,1249,1201
1223,1367,1297
1249,1351,1301
